club,location,link
Friends of Mineralogy - Pennsylvania Chapter,St. Peters,http://www.rasloto.com/FM/
Gem City Rock and Mineral Society,Erie,http://www.gemcityrockclub.org/
Leidy Microscopical Society,Fairless Hills,http://leidymicroscopical.com/
"Mason-Dixon Rock, Mineral, Gemological, & Lapidary Club",Hanover,http://topgemz.com/
Mineralogical Society of Northeastern Pennsylvania,Moosic,http://msnepa.org/
Monongahela Rockhounds,Pittsburgh,http://www.monongahelarockhounds.org/
Monroe County Earth Science Association,Stroudsburg,http://www.mdsysconsulting.com/MCESA/
Moraine Rockbusters,Mars,http://www.morainerockbusters.org/
Nittany Mineralogical Society,State College,http://www.nittanymineral.org/
Pennsylvania Earth Sciences Association,Whitehall,http://www.mineralfest.com/
Philadelphia Mineralogical Society,Philadelphia,http://www.phillyrocks.org/
Pittsburgh Geological Society,Pittsburgh,http://www.pittsburghgeologicalsociety.org/index.html
Tuscarora Lapidary Society,Brookhaven,http://www.lapidary.org/
"Rhode Island Mineral Hunters, Inc.",Warwick,http://rimh.us/
Aiken Gem and Mineral Society,Aiken,http://www.aikengmfs.org/
Columbia Gem & Mineral Society,Columbia,http://www.cgams.org/
Lowcountry Gem and Mineral Society,North Charleston,http://lowcountrygemandmineralsociety.org/
Pendleton District Gem and Mineral Society,Central,http://www.woodsmere.com/pdgms/
Western South Carolina Gem and Mineral Society,Greenville,http://www.wescagem.org/
Sioux Empire Gem and Mineral Society,Sioux Falls,http://www.segams.org/
Western Dakota Gem & Mineral Society,Rapid City,http://www.wdgms.org/
Knoxville Gem & Mineral Society,Knoxville,http://www.knoxrocks.org/
Memphis Archaeological & Geological Society,Memphis,http://www.memphisgeology.org/
Middle Tennessee Rockhounds,Nashville,http://www.rockhound.org/
Mid-Tennessee Gem and Mineral Society,"Murfreesboro, Donelson, Tullahoma",http://www.mtgms.org/
Arlington Gem and Mineral Club,Arlington,http://www.agemclub.org/
Austin Gem and Mineral Society,Austin,http://www.austingemandmineral.org/index.html
Central Texas Gem & Mineral Society,Abilene,http://rockclub.txol.net/
Chihuahuan Desert Gem and Mineral Club,Alpine,http://www.cdgmc.org/
Clear Lake Gem and Mineral Society,Houston,http://www.clgms.org/
"Cowtown Gem, Mineral & Glass Society",Fort Worth,http://cera-fw.org/gem-mineral-glass/
Dallas Gem and Mineral Society,Dallas,http://www.dallasgemandmineral.org/
Dallas Paleontological Society,Dallas,https://dps.wildapricot.org/
East Texas Gem and Mineral Society,Tyler,http://www.etgms.com/
"El Paso Mineral and Gem Society, Inc.",El Paso,http://www.epmgs.com/
Fort Worth Gem and Mineral Club,Fort Worth,http://www.fortworthgemandmineralclub.org/
Fredericksburg Rockhounds,Fredericksburg,http://fredericksburgrockhounds.org/
Geological Society of San Antonio,San Antonio,http://www.geosa.org/
"Golden Spread Gem, Mineral and Treasure Society",Amarillo,http://www.amarillotreasure.com/
Gulf Coast Gem & Mineral Society,Corpus Christi,http://www.gcgms.org/
Houston Gem and Mineral Society,Houston,http://www.hgms.org/
Lubbock Gem and Mineral Society,Lubbock,http://www.lubbockgemandmineral.org/
"Midland Gem and Mineral Society, Inc.",Midland,https://www.facebook.com/midlandgemandmineral/
Oak Cliff Gem and Mineral Society,Dallas,http://www.ocgemandmineral.com/
Paleontological Society of Austin,Austin,http://www.austinpaleo.org/
Pine Country Gem & Mineral Society,Jasper,http://www.pinecountry-gms.org/
Piney Woods Gem & Mineral Society,Huntsville,http://www.pwgms.org/
Pleasant Oaks Gem & Mineral Club,Dallas,http://www.pogmc.org/
"Rollin' Rock Club, Inc.",Rollin' Rock Club Of Texas And Any Other State Or Country Of The World and Outer Space,https://sites.google.com/site/rollinrockclub/
South Texas Geological Society,San Antonio,http://www.stgs.org/
Southwest Gem and Mineral Society,San Antonio,http://www.swgemandmineral.org/
Texas Faceters Guild,Houston,http://texasfacetersguild.org/
"Tri-City Gem and Mineral Society, Inc.",Temple,https://www.facebook.com/midlandgemandmineral/
Waco Gem and Mineral Club,Waco,http://www.wacogemandmineral.org/
Williamson County Gem and Mineral Society,Georgetown,http://www.wcgms.org/
"Wise County Fossil, Rock and Mineral Society",Decatur,http://wisecofossilrockandmineralsoc.weebly.com/
Beehive Rock and Gem Club,Ogden,http://www.beehiverockandgem.com/
Cache Rock and Gem Club,Smithfield,http://cacherockgemclub.weebly.com/
Golden Spike Gem & Mineral Society,Ogden,http://goldenspikegem.org/
Mineral Collectors of Utah,Salt Lake City,http://m-c-u.org/
Moab Rock Club,Moab,https://www.facebook.com/Moab-Rock-Club-1508131859497762/
Rockhounders Outreach for Community Knowledge,Sandy,http://www.rockhoundersock.com/
Timpanogos Gem & Mineral Society,Provo,http://timprocks.weebly.com/
Tooele Gem & Mineral Society,Tooele,https://www.facebook.com/Tooele-Gem-Mineral-Society-1742342656045404/
Wasatch Gem Society,Salt Lake City,http://www.wasatchgemsociety.com/
Burlington Gem and Mineral Club,Burlington,http://www.burlingtongemandmineralclub.org/
Rutland Rock & Mineral Club,Rutland,http://www.rutlandrockmineralclub.50webs.com/
"Gem and Mineral Hunters, Inc.",Manassas,http://www.gmhonline.org/
Gem and Mineral Society of Lynchburg,Lynchburg,http://www.lynchburgrockclub.org/
Gem and Mineral Society of the Virginia Peninsula,Hampton,http://www.gmsvp.org/
"Northern Virginia Mineral Club, Inc.",Arlington,http://www.novamineralclub.org/
Richmond Gem & Mineral Society,Richmond,http://www.rgms-va.info/
Roanoke Valley Mineral & Gem Society,Roanoke,https://www.facebook.com/RVMGS/
Shenandoah Valley Gem & Mineral Society,Waynesboro,http://www.shenandoahvalleyrockclub.org/
Tidewater Gem & Mineral Society,Virginia Beach,http://tgms.weebly.com/
"Bellevue Rock Club, Inc.",Bellevue,http://www.bellevuerockclub.org/
Cascade Mineralogical Society Inc,Kent,http://www.cascademineralogicalsociety.org/
Clallam County Gem & Mineral Association,Port Angeles,http://www.olympicrocks.com/
Darrington Rock & Gem Club,Darrington,https://www.facebook.com/DarringtonRGC/
East KingCo Rock Club,Kirkland,http://www.eastkingco.org/
Everett Rock & Gem Club,Everett,http://www.everettrockclub.com/
Ginkgo Mineral Society,Wenatchee,http://wenatcheerockclub.org/
Kitsap Mineral and Gem Societ,Bremerton,http://www.kmgs.org/
"Lakeside Gem & Mineral Club, Inc.",Kennewick,http://www.lakesidegemandmineralclub.com/
Maplewood Rock & Gem Community Club,Edmonds,http://www.maplewoodrockclub.com/
Marcus Whitman Gem and Mineral Society,Walla Walla,https://www.sites.google.com/site/mwgemandmineral/
"Marysville Rock & Gem Club, Inc.",Marysville,https://sites.google.com/site/marysvillerockngemclub/
Mount Baker Rock And Gem Club,Bellingham,http://mtbakerrockclub.org/
North American Miners Association,Kent,http://www.namaminers.org/
North Puget Sound Facetors Guild,Mount Vernon,http://www.facetguild.com/
Northwest Paleontological Association,Puget Sound,http://nwpaleo.org/
Panorama Gem & Mineral Club,Arden,http://panoramagem.com/
Puyallup Valley Gem & Mineral Club,Puyallup,https://www.facebook.com/PuyallupValleyGemClub
Skagit Rock and Gem Club,Mt. Vernon,https://www.skagitrockandgem.com/
Spokane Rock Rollers Club,Spokane Valley,http://www.rockrollers.org/WP/
North Seattle Lapidary & Mineral Club,Seattle,http://www.northseattlerockclub.org
Washington Agate and Mineral Society,Olympia,https://wamsolympia.wordpress.com
West Seattle Rock Club,Seattle,http://www.westseattlerockclub.org/
Yakima Rock & Mineral Club,Yakima,http://www.yakimarockclub.com/
Kanawha Rock and Gem Club,Charleston,http://www.kanawharockandgemclub.org/
Prehistoric West Virginia,Morgantown,http://prehistoricplanet.com/wv/
West Virginia Fossil Club Inc,Clarksburg,http://www.westvirginiafossilclub.com/
"Badger Lapidary & Geological Society, Inc.",Monroe,http://www.badgerrockclub.org/
Coulee Rock Club of La Crosse,La Crosse,https://www.facebook.com/pages/The-Coulee-Rock-Club/182345351787782
Heart of Wisconsin Gem & Mineral Society,Marshfield & Stevens Point,https://www.heartofwisconsinrocks.com/
Kettle Moraine Geological Society,Pewaukee,http://www.kmgsrocks.com/
Lakeland Gem Club,Minocqua,http://www.lakelandgemclub.com/
Madison Gem and Mineral Club,Madison,http://www.madisonrockclub.org/
Northwest Wisconsin Gem & Mineral Society,Cameron,http://www.cameronamericanlegion.org/rockclub.html
Oshkosh Earth Science Club,Oshkosh,https://sites.google.com/site/oshkoshearthscienceclub/home
"Racine Geological Society, Inc",Racine,http://rgs-wi.tripod.com/
Weis'n'Miners Geology Club,Menasha,http://www.weismuseum.org/geology-club.html
Wisconsin Geological Society,West Allis,http://www.wisgeologicalsociety.com/
Cody 59ers Rock Club,Cody,http://www.cody59ers.com/
Riverton Mineral and Gem Society,Riverton,http://www.rivertonmgs.com/
Wyoming State Mineral and Gem Society,Cody,http://wymineralandgemsociety.org
